순위,곡정보,앨범,좋아요 수
1,"Golden
HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",KPop Demon Hunters (Soundtrack from the Netflix Film),"167,269"
2,"뛰어(JUMP)
BLACKPINK",뛰어(JUMP),"73,850"
3,"Rich Man
aespa",Rich Man - The 6th Mini Album,"34,445"
4,"Soda Pop
KPop Demon Hunters Cast, Danny Chung, Saja Boys, Andrew Choi, Neckwav, Kevin Woo, samUIL Lee",KPop Demon Hunters (Soundtrack from the Netflix Film),"101,572"
5,"Drowning
WOODZ",OO-LI,"248,523"
6,"FAMOUS
ALLDAY PROJECT",FAMOUS,"111,881"
7,"XOXZ
IVE (아이브)",IVE SECRET,"34,463"
8,"시작의 아이 ❍
박다혜, 마크툽 (MAKTUB)",시작의 아이 ❍ ハジマリのコ Starting With You : ♡,"45,343"
9,"꿈의 버스
DAY6 (데이식스)",The DECADE,"32,495"
10,"바이, 썸머
아이유","바이, 썸머","34,487"
11,"어제보다 슬픈 오늘
우디 (Woody)",어제보다 슬픈 오늘,"59,488"
12,"Dirty Work
aespa",Dirty Work,"63,067"
13,"시작의 아이
마크툽 (MAKTUB)",시작의 아이 ハジマリのコ (Starting With You),"75,204"
14,"너에게 닿기를
10CM",너에게 닿기를,"131,214"
15,"모르시나요(PROD.로코베리)
조째즈",모르시나요,"93,969"
16,"INSIDE OUT
DAY6 (데이식스)",The DECADE,"27,073"
17,"Whiplash
aespa",Whiplash - The 5th Mini Album,"145,944"
18,"사랑은 늘 도망가
임영웅",신사와 아가씨 OST Part.2,"231,484"
19,"Dash
PLAVE",Caligo Pt.1,"61,445"
20,"운명 (2025)
먼데이 키즈, 이이경",먼키의 발자국 Vol.1 With 이이경,"21,824"
21,"HOME SWEET HOME (feat. 태양, 대성)
G-DRAGON","HOME SWEET HOME (feat. 태양, 대성)","220,752"
22,"순간을 영원처럼
임영웅",IM HERO 2,"34,062"
23,"숨바꼭질 (Hide and Seek)
PLAVE",숨바꼭질 (Hide and Seek),"24,260"
24,"우리들의 블루스
임영웅",IM HERO,"120,436"
